neutral_take,style_take,dice,fpfn_ratio,log_ratio,s1,s2,tp,fp,fn
3,Threatening52,0.8646956202368928,0.4156979536939187,-0.8777963552905836,57496,51414,47087,4327,10409
4,Threatening52,0.8404071608945044,0.1942207792207792,-1.6387597297717726,63823,51414,48423,2991,15400
0,Still53,0.2669815185176261,0.07540299773755656,-2.5849082469660196,33828,7673,5540,2133,28288
1,Still53,0.2689188000351896,0.0007466281310211946,-7.199943313354624,49162,7673,7642,31,41520
2,Still53,0.2379932985852569,4.0716612377850165e-05,-10.108874382261078,56791,7673,7671,2,49120
3,Still53,0.23483558133468366,0.0004213145012438809,-7.772130969339335,57496,7673,7652,21,49844
4,Still53,0.21399798590130917,0.00040944937959517917,-7.80069727746432,63823,7673,7650,23,56173
0,Still54,0.25988171722758796,0.255050505050505,-1.3662936944132211,33828,13178,6108,7070,27720
1,Still54,0.4219762592236124,0.0006942708767252631,-7.2726483613252535,49162,13178,13153,25,36009
2,Still54,0.3764524289328131,0.00018339790467893904,-8.603852423076646,56791,13178,13170,8,43621
3,Still54,0.3725839771344483,0.0002706970448905933,-8.2145102779511,57496,13178,13166,12,44330
4,Still54,0.3418397163673199,0.00033555722237574515,-7.9997180575989795,63823,13178,13161,17,50662
0,Still55,0.2675888584742044,0.27806745670009114,-1.279891544725922,33828,14029,6403,7626,27425
1,Still55,0.44398727666914595,2.8462458017874424e-05,-10.466924601573329,49162,14029,14028,1,35134
2,Still55,0.3960180739903982,0.00014029180695847364,-8.871785969150645,56791,14029,14023,6,42768
3,Still55,0.39203075847605734,0.0002070107645597571,-8.482739763346858,57496,14029,14020,9,43476
4,Still55,0.35988799260134613,0.0004014935560284257,-7.8203190744486575,63823,14029,14009,20,49814
0,Laughing56,0.5906548850735418,1.3044470680834317,0.26577924836927946,33828,37696,21123,16573,12705
1,Laughing56,0.745584747518939,0.31676796567751164,-1.1495857425968787,49162,37696,32380,5316,16782
2,Laughing56,0.7091557568766074,0.1800498110614909,-1.7145217382546964,56791,37696,33503,4193,23288
3,Laughing56,0.712559878981427,0.16034095246172766,-1.8304527781222353,57496,37696,33915,3781,23581
4,Laughing56,0.6508732355519656,0.15130745492934872,-1.8884413869010241,63823,37696,33038,4658,30785
0,Laughing57,0.6275534249895641,1.6276838305149155,0.48715804141924834,33828,40435,23302,17133,10526
1,Laughing57,0.7732848198042345,0.39896694214876033,-0.9188767172821629,49162,40435,34642,5793,14520
2,Laughing57,0.7413037664822167,0.21191095692396647,-1.5515891070505172,56791,40435,36037,4398,20754
3,Laughing57,0.759432661772064,0.15997045790251108,-1.8327661189053301,57496,40435,37186,3249,20310
4,Laughing57,0.6940858255481593,0.15386563438370537,-1.8716755614235845,63823,40435,36182,4253,27641
0,Sneaky58,0.7209842254865797,41.86333333333334,3.7344103443619256,33828,58346,33228,25118,600
1,Sneaky58,0.8902407262715333,8.021406727828746,2.0821138089696203,49162,58346,47854,10492,1308
2,Sneaky58,0.8978694946020828,1.3047824382595061,0.26603631289894697,56791,58346,51689,6657,5102
3,Sneaky58,0.9072875123012379,1.1718907987866531,0.15861851171703956,57496,58346,52551,5795,4945
4,Sneaky58,0.8554543296580965,0.5265387275242047,-0.6414303935620612,63823,58346,52255,6091,11568
0,Sneaky59,0.7024562864279766,347.6341463414634,5.8511506231507235,33828,62252,33746,28506,82
1,Sneaky59,0.8725474356903082,24.585585585585587,3.2021603193960044,49162,62252,48607,13645,555
2,Sneaky59,0.8596557546432801,1.971189756357816,0.6786372976906673,56791,62252,51168,11084,5623
3,Sneaky59,0.8710959681998864,1.8906367041198502,0.6369136528267538,57496,62252,52156,10096,5340
4,Sneaky59,0.8316795558199485,0.8621446121446121,-0.14833225888033694,63823,62252,52427,9825,11396
0,Sneaky60,0.7067446121629876,17.829131652661065,2.8808337292118678,33828,57860,32400,25460,1428
